Grid Size,16
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
0,1,9,2,8,8,0,304.0,80.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,11,3,8,8,0,368.0,112.0,0
0,1,10,3,8,8,0,336.0,112.0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,3,3,8,8,0,112.0,112.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,4,2,8,8,0,144.0,80.0,0
0,1,4,3,8,8,0,144.0,112.0,0
0,1,4,4,8,8,0,144.0,144.0,0
0,1,3,4,8,8,0,112.0,144.0,0
0,0,4,3,8,8,0,144.0,112.0,0
0,1,3,4,8,8,0,112.0,144.0,0
0,1,3,3,8,8,0,112.0,112.0,0
1,1,0,0,0,0,0,0,0,0
0,1,4,2,8,8,0,144.0,80.0,0
0,1,5,2,8,8,0,176.0,80.0,0
0,1,5,3,8,8,0,176.0,112.0,0
0,1,5,4,8,8,0,176.0,144.0,0
0,1,4,4,8,8,0,144.0,144.0,0
0,0,5,3,8,8,0,176.0,112.0,0
0,1,4,4,8,8,0,144.0,144.0,0
0,1,4,3,8,8,0,144.0,112.0,0
0,1,4,2,8,8,0,144.0,80.0,0
0,1,5,2,8,8,0,176.0,80.0,0
0,1,6,2,8,8,0,208.0,80.0,0
0,1,6,3,8,8,0,208.0,112.0,0
0,1,6,4,8,8,0,208.0,144.0,0
0,1,5,4,8,8,0,176.0,144.0,0
0,0,6,3,8,8,0,208.0,112.0,0
0,1,5,4,8,8,0,176.0,144.0,0
0,1,5,3,8,8,0,176.0,112.0,0
0,1,5,2,8,8,0,176.0,80.0,0
0,1,6,2,8,8,0,208.0,80.0,0
0,1,7,2,8,8,0,240.0,80.0,0
0,1,7,3,8,8,0,240.0,112.0,0
0,1,7,4,8,8,0,240.0,144.0,0
0,1,6,4,8,8,0,208.0,144.0,0
0,0,7,3,8,8,0,240.0,112.0,0
0,1,6,4,8,8,0,208.0,144.0,0
0,1,6,3,8,8,0,208.0,112.0,0
0,1,6,2,8,8,0,208.0,80.0,0
0,1,7,2,8,8,0,240.0,80.0,0
0,1,8,2,8,8,0,272.0,80.0,0
0,1,8,3,8,8,0,272.0,112.0,0
0,1,8,4,8,8,0,272.0,144.0,0
0,1,7,4,8,8,0,240.0,144.0,0
0,0,8,3,8,8,0,272.0,112.0,0
0,1,7,4,8,8,0,240.0,144.0,0
0,1,7,3,8,8,0,240.0,112.0,0
0,1,7,2,8,8,0,240.0,80.0,0
0,1,8,2,8,8,0,272.0,80.0,0
0,1,9,2,8,8,0,304.0,80.0,0
0,1,9,3,8,8,0,304.0,112.0,0
0,1,9,4,8,8,0,304.0,144.0,0
0,1,8,4,8,8,0,272.0,144.0,0
0,0,9,3,8,8,0,304.0,112.0,0
0,1,8,4,8,8,0,272.0,144.0,0
0,1,8,3,8,8,0,272.0,112.0,0
0,1,8,2,8,8,0,272.0,80.0,0
0,1,9,2,8,8,0,304.0,80.0,0
0,1,10,2,8,8,0,336.0,80.0,0
0,1,10,3,8,8,0,336.0,112.0,0
0,1,10,4,8,8,0,336.0,144.0,0
0,1,9,4,8,8,0,304.0,144.0,0
0,0,10,3,8,8,0,336.0,112.0,0
0,1,9,4,8,8,0,304.0,144.0,0
0,1,9,3,8,8,0,304.0,112.0,0
0,1,9,2,8,8,0,304.0,80.0,0
0,1,10,2,8,8,0,336.0,80.0,0
1,1,0,0,0,0,0,0,0,0
0,1,11,3,8,8,0,368.0,112.0,0
0,1,11,4,8,8,0,368.0,144.0,0
0,1,10,4,8,8,0,336.0,144.0,0
0,0,11,3,8,8,0,368.0,112.0,0
0,1,10,4,8,8,0,336.0,144.0,0
0,1,10,3,8,8,0,336.0,112.0,0
0,1,10,2,8,8,0,336.0,80.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,12,4,8,8,0,400.0,144.0,0
0,1,11,4,8,8,0,368.0,144.0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,3,4,8,8,0,112.0,144.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,3,8,8,0,112.0,112.0,0
0,1,4,3,8,8,0,144.0,112.0,0
0,1,4,4,8,8,0,144.0,144.0,0
0,1,4,5,8,8,0,144.0,176.0,0
0,1,3,5,8,8,0,112.0,176.0,0
0,0,4,4,8,8,0,144.0,144.0,0
0,1,3,5,8,8,0,112.0,176.0,0
0,1,3,4,8,8,0,112.0,144.0,0
0,1,3,3,8,8,0,112.0,112.0,0
0,1,4,3,8,8,0,144.0,112.0,0
0,1,5,3,8,8,0,176.0,112.0,0
0,1,5,4,8,8,0,176.0,144.0,0
0,1,5,5,8,8,0,176.0,176.0,0
0,1,4,5,8,8,0,144.0,176.0,0
0,0,5,4,8,8,0,176.0,144.0,0
0,1,4,5,8,8,0,144.0,176.0,0
0,1,4,4,8,8,0,144.0,144.0,0
0,1,4,3,8,8,0,144.0,112.0,0
0,1,5,3,8,8,0,176.0,112.0,0
0,1,6,3,8,8,0,208.0,112.0,0
0,1,6,4,8,8,0,208.0,144.0,0
0,1,6,5,8,8,0,208.0,176.0,0
0,1,5,5,8,8,0,176.0,176.0,0
0,0,6,4,8,8,0,208.0,144.0,0
0,1,5,5,8,8,0,176.0,176.0,0
0,1,5,4,8,8,0,176.0,144.0,0
0,1,5,3,8,8,0,176.0,112.0,0
0,1,6,3,8,8,0,208.0,112.0,0
0,1,7,3,8,8,0,240.0,112.0,0
0,1,7,4,8,8,0,240.0,144.0,0
0,1,7,5,8,8,0,240.0,176.0,0
0,1,6,5,8,8,0,208.0,176.0,0
0,0,7,4,8,8,0,240.0,144.0,0
0,1,6,5,8,8,0,208.0,176.0,0
0,1,6,4,8,8,0,208.0,144.0,0
0,1,6,3,8,8,0,208.0,112.0,0
0,1,7,3,8,8,0,240.0,112.0,0
0,1,8,3,8,8,0,272.0,112.0,0
0,1,8,4,8,8,0,272.0,144.0,0
0,1,8,5,8,8,0,272.0,176.0,0
0,1,7,5,8,8,0,240.0,176.0,0
0,0,8,4,8,8,0,272.0,144.0,0
0,1,7,5,8,8,0,240.0,176.0,0
0,1,7,4,8,8,0,240.0,144.0,0
0,1,7,3,8,8,0,240.0,112.0,0
0,1,8,3,8,8,0,272.0,112.0,0
0,1,9,3,8,8,0,304.0,112.0,0
0,1,9,4,8,8,0,304.0,144.0,0
0,1,9,5,8,8,0,304.0,176.0,0
0,1,8,5,8,8,0,272.0,176.0,0
0,0,9,4,8,8,0,304.0,144.0,0
0,1,8,5,8,8,0,272.0,176.0,0
0,1,8,4,8,8,0,272.0,144.0,0
0,1,8,3,8,8,0,272.0,112.0,0
0,1,9,3,8,8,0,304.0,112.0,0
0,1,10,3,8,8,0,336.0,112.0,0
0,1,10,4,8,8,0,336.0,144.0,0
0,1,10,5,8,8,0,336.0,176.0,0
0,1,9,5,8,8,0,304.0,176.0,0
0,0,10,4,8,8,0,336.0,144.0,0
0,1,9,5,8,8,0,304.0,176.0,0
0,1,9,4,8,8,0,304.0,144.0,0
0,1,9,3,8,8,0,304.0,112.0,0
0,1,10,3,8,8,0,336.0,112.0,0
0,1,11,3,8,8,0,368.0,112.0,0
0,1,11,4,8,8,0,368.0,144.0,0
0,1,11,5,8,8,0,368.0,176.0,0
0,1,10,5,8,8,0,336.0,176.0,0
0,0,11,4,8,8,0,368.0,144.0,0
0,1,10,5,8,8,0,336.0,176.0,0
0,1,10,4,8,8,0,336.0,144.0,0
0,1,10,3,8,8,0,336.0,112.0,0
0,1,11,3,8,8,0,368.0,112.0,0
1,1,0,0,0,0,0,0,0,0
0,1,12,4,8,8,0,400.0,144.0,0
0,1,12,5,8,8,0,400.0,176.0,0
0,1,11,5,8,8,0,368.0,176.0,0
0,0,12,4,8,8,0,400.0,144.0,0
0,1,11,5,8,8,0,368.0,176.0,0
0,1,11,4,8,8,0,368.0,144.0,0
0,1,11,3,8,8,0,368.0,112.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,13,5,8,8,0,432.0,176.0,0
0,1,12,5,8,8,0,400.0,176.0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,3,5,8,8,0,112.0,176.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,4,8,8,0,112.0,144.0,0
0,1,4,4,8,8,0,144.0,144.0,0
0,1,4,5,8,8,0,144.0,176.0,0
0,1,4,6,8,8,0,144.0,208.0,0
0,1,3,6,8,8,0,112.0,208.0,0
0,0,4,5,8,8,0,144.0,176.0,0
0,1,3,6,8,8,0,112.0,208.0,0
0,1,3,5,8,8,0,112.0,176.0,0
0,1,3,4,8,8,0,112.0,144.0,0
0,1,4,4,8,8,0,144.0,144.0,0
0,1,5,4,8,8,0,176.0,144.0,0
0,1,5,5,8,8,0,176.0,176.0,0
0,1,5,6,8,8,0,176.0,208.0,0
0,1,4,6,8,8,0,144.0,208.0,0
0,0,5,5,8,8,0,176.0,176.0,0
0,1,4,6,8,8,0,144.0,208.0,0
0,1,4,5,8,8,0,144.0,176.0,0
0,1,4,4,8,8,0,144.0,144.0,0
0,1,5,4,8,8,0,176.0,144.0,0
0,1,6,4,8,8,0,208.0,144.0,0
0,1,6,5,8,8,0,208.0,176.0,0
0,1,6,6,8,8,0,208.0,208.0,0
0,1,5,6,8,8,0,176.0,208.0,0
0,0,6,5,8,8,0,208.0,176.0,0
0,1,5,6,8,8,0,176.0,208.0,0
0,1,5,5,8,8,0,176.0,176.0,0
0,1,5,4,8,8,0,176.0,144.0,0
0,1,6,4,8,8,0,208.0,144.0,0
0,1,7,4,8,8,0,240.0,144.0,0
0,1,7,5,8,8,0,240.0,176.0,0
0,1,7,6,8,8,0,240.0,208.0,0
0,1,6,6,8,8,0,208.0,208.0,0
0,0,7,5,8,8,0,240.0,176.0,0
0,1,6,6,8,8,0,208.0,208.0,0
0,1,6,5,8,8,0,208.0,176.0,0
0,1,6,4,8,8,0,208.0,144.0,0
0,1,7,4,8,8,0,240.0,144.0,0
0,1,8,4,8,8,0,272.0,144.0,0
0,1,8,5,8,8,0,272.0,176.0,0
0,1,8,6,8,8,0,272.0,208.0,0
0,1,7,6,8,8,0,240.0,208.0,0
0,0,8,5,8,8,0,272.0,176.0,0
0,1,7,6,8,8,0,240.0,208.0,0
0,1,7,5,8,8,0,240.0,176.0,0
0,1,7,4,8,8,0,240.0,144.0,0
0,1,8,4,8,8,0,272.0,144.0,0
0,1,9,4,8,8,0,304.0,144.0,0
0,1,9,5,8,8,0,304.0,176.0,0
0,1,9,6,8,8,0,304.0,208.0,0
0,1,8,6,8,8,0,272.0,208.0,0
0,0,9,5,8,8,0,304.0,176.0,0
0,1,8,6,8,8,0,272.0,208.0,0
0,1,8,5,8,8,0,272.0,176.0,0
0,1,8,4,8,8,0,272.0,144.0,0
0,1,9,4,8,8,0,304.0,144.0,0
0,1,10,4,8,8,0,336.0,144.0,0
0,1,10,5,8,8,0,336.0,176.0,0
0,1,10,6,8,8,0,336.0,208.0,0
0,1,9,6,8,8,0,304.0,208.0,0
0,0,10,5,8,8,0,336.0,176.0,0
0,1,9,6,8,8,0,304.0,208.0,0
0,1,9,5,8,8,0,304.0,176.0,0
0,1,9,4,8,8,0,304.0,144.0,0
0,1,10,4,8,8,0,336.0,144.0,0
0,1,11,4,8,8,0,368.0,144.0,0
0,1,11,5,8,8,0,368.0,176.0,0
0,1,11,6,8,8,0,368.0,208.0,0
0,1,10,6,8,8,0,336.0,208.0,0
0,0,11,5,8,8,0,368.0,176.0,0
0,1,10,6,8,8,0,336.0,208.0,0
0,1,10,5,8,8,0,336.0,176.0,0
0,1,10,4,8,8,0,336.0,144.0,0
0,1,11,4,8,8,0,368.0,144.0,0
0,1,12,4,8,8,0,400.0,144.0,0
0,1,12,5,8,8,0,400.0,176.0,0
0,1,12,6,8,8,0,400.0,208.0,0
0,1,11,6,8,8,0,368.0,208.0,0
0,0,12,5,8,8,0,400.0,176.0,0
0,1,11,6,8,8,0,368.0,208.0,0
0,1,11,5,8,8,0,368.0,176.0,0
0,1,11,4,8,8,0,368.0,144.0,0
0,1,12,4,8,8,0,400.0,144.0,0
1,1,0,0,0,0,0,0,0,0
0,1,13,5,8,8,0,432.0,176.0,0
0,1,13,6,8,8,0,432.0,208.0,0
0,1,12,6,8,8,0,400.0,208.0,0
0,0,13,5,8,8,0,432.0,176.0,0
0,1,12,6,8,8,0,400.0,208.0,0
0,1,12,5,8,8,0,400.0,176.0,0
0,1,12,4,8,8,0,400.0,144.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,13,6,8,8,0,432.0,208.0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,3,6,8,8,0,112.0,208.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,5,8,8,0,112.0,176.0,0
0,1,4,5,8,8,0,144.0,176.0,0
0,1,4,6,8,8,0,144.0,208.0,0
0,1,4,7,8,8,0,144.0,240.0,0
0,1,3,7,8,8,0,112.0,240.0,0
0,0,4,6,8,8,0,144.0,208.0,0
0,1,3,7,8,8,0,112.0,240.0,0
0,1,3,6,8,8,0,112.0,208.0,0
0,1,3,5,8,8,0,112.0,176.0,0
0,1,4,5,8,8,0,144.0,176.0,0
0,1,5,5,8,8,0,176.0,176.0,0
0,1,5,6,8,8,0,176.0,208.0,0
0,1,5,7,8,8,0,176.0,240.0,0
0,1,4,7,8,8,0,144.0,240.0,0
0,0,5,6,8,8,0,176.0,208.0,0
0,1,4,7,8,8,0,144.0,240.0,0
0,1,4,6,8,8,0,144.0,208.0,0
0,1,4,5,8,8,0,144.0,176.0,0
0,1,5,5,8,8,0,176.0,176.0,0
0,1,6,5,8,8,0,208.0,176.0,0
0,1,6,6,8,8,0,208.0,208.0,0
0,1,6,7,8,8,0,208.0,240.0,0
0,1,5,7,8,8,0,176.0,240.0,0
0,0,6,6,8,8,0,208.0,208.0,0
0,1,5,7,8,8,0,176.0,240.0,0
0,1,5,6,8,8,0,176.0,208.0,0
0,1,5,5,8,8,0,176.0,176.0,0
0,1,6,5,8,8,0,208.0,176.0,0
0,1,7,5,8,8,0,240.0,176.0,0
0,1,7,6,8,8,0,240.0,208.0,0
0,1,7,7,8,8,0,240.0,240.0,0
0,1,6,7,8,8,0,208.0,240.0,0
0,0,7,6,8,8,0,240.0,208.0,0
0,1,6,7,8,8,0,208.0,240.0,0
0,1,6,6,8,8,0,208.0,208.0,0
0,1,6,5,8,8,0,208.0,176.0,0
0,1,7,5,8,8,0,240.0,176.0,0
0,1,8,5,8,8,0,272.0,176.0,0
0,1,8,6,8,8,0,272.0,208.0,0
0,1,8,7,8,8,0,272.0,240.0,0
0,1,7,7,8,8,0,240.0,240.0,0
0,0,8,6,8,8,0,272.0,208.0,0
0,1,7,7,8,8,0,240.0,240.0,0
0,1,7,6,8,8,0,240.0,208.0,0
0,1,7,5,8,8,0,240.0,176.0,0
0,1,8,5,8,8,0,272.0,176.0,0
0,1,9,5,8,8,0,304.0,176.0,0
0,1,9,6,8,8,0,304.0,208.0,0
0,1,9,7,8,8,0,304.0,240.0,0
0,1,8,7,8,8,0,272.0,240.0,0
0,0,9,6,8,8,0,304.0,208.0,0
0,1,8,7,8,8,0,272.0,240.0,0
0,1,8,6,8,8,0,272.0,208.0,0
0,1,8,5,8,8,0,272.0,176.0,0
0,1,9,5,8,8,0,304.0,176.0,0
0,1,10,5,8,8,0,336.0,176.0,0
0,1,10,6,8,8,0,336.0,208.0,0
0,1,10,7,8,8,0,336.0,240.0,0
0,1,9,7,8,8,0,304.0,240.0,0
0,0,10,6,8,8,0,336.0,208.0,0
0,1,9,7,8,8,0,304.0,240.0,0
0,1,9,6,8,8,0,304.0,208.0,0
0,1,9,5,8,8,0,304.0,176.0,0
0,1,10,5,8,8,0,336.0,176.0,0
0,1,11,5,8,8,0,368.0,176.0,0
0,1,11,6,8,8,0,368.0,208.0,0
0,1,11,7,8,8,0,368.0,240.0,0
0,1,10,7,8,8,0,336.0,240.0,0
0,0,11,6,8,8,0,368.0,208.0,0
0,1,10,7,8,8,0,336.0,240.0,0
0,1,10,6,8,8,0,336.0,208.0,0
0,1,10,5,8,8,0,336.0,176.0,0
0,1,11,5,8,8,0,368.0,176.0,0
0,1,12,5,8,8,0,400.0,176.0,0
0,1,12,6,8,8,0,400.0,208.0,0
0,1,12,7,8,8,0,400.0,240.0,0
0,1,11,7,8,8,0,368.0,240.0,0
0,0,12,6,8,8,0,400.0,208.0,0
0,1,11,7,8,8,0,368.0,240.0,0
0,1,11,6,8,8,0,368.0,208.0,0
0,1,11,5,8,8,0,368.0,176.0,0
0,1,12,5,8,8,0,400.0,176.0,0
0,1,13,5,8,8,0,432.0,176.0,0
0,1,13,6,8,8,0,432.0,208.0,0
0,1,13,7,8,8,0,432.0,240.0,0
0,1,12,7,8,8,0,400.0,240.0,0
0,0,13,6,8,8,0,432.0,208.0,0
0,1,12,7,8,8,0,400.0,240.0,0
0,1,12,6,8,8,0,400.0,208.0,0
0,1,12,5,8,8,0,400.0,176.0,0
0,1,13,5,8,8,0,432.0,176.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,13,7,8,8,0,432.0,240.0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,3,7,8,8,0,112.0,240.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,6,8,8,0,112.0,208.0,0
0,1,4,6,8,8,0,144.0,208.0,0
0,1,4,7,8,8,0,144.0,240.0,0
0,1,4,8,8,8,0,144.0,272.0,0
0,1,3,8,8,8,0,112.0,272.0,0
0,0,4,7,8,8,0,144.0,240.0,0
0,1,3,8,8,8,0,112.0,272.0,0
0,1,3,7,8,8,0,112.0,240.0,0
0,1,3,6,8,8,0,112.0,208.0,0
0,1,4,6,8,8,0,144.0,208.0,0
0,1,5,6,8,8,0,176.0,208.0,0
0,1,5,7,8,8,0,176.0,240.0,0
0,1,5,8,8,8,0,176.0,272.0,0
0,1,4,8,8,8,0,144.0,272.0,0
0,0,5,7,8,8,0,176.0,240.0,0
0,1,4,8,8,8,0,144.0,272.0,0
0,1,4,7,8,8,0,144.0,240.0,0
0,1,4,6,8,8,0,144.0,208.0,0
0,1,5,6,8,8,0,176.0,208.0,0
0,1,6,6,8,8,0,208.0,208.0,0
0,1,6,7,8,8,0,208.0,240.0,0
0,1,6,8,8,8,0,208.0,272.0,0
0,1,5,8,8,8,0,176.0,272.0,0
0,0,6,7,8,8,0,208.0,240.0,0
0,1,5,8,8,8,0,176.0,272.0,0
0,1,5,7,8,8,0,176.0,240.0,0
0,1,5,6,8,8,0,176.0,208.0,0
0,1,6,6,8,8,0,208.0,208.0,0
0,1,7,6,8,8,0,240.0,208.0,0
0,1,7,7,8,8,0,240.0,240.0,0
0,1,7,8,8,8,0,240.0,272.0,0
0,1,6,8,8,8,0,208.0,272.0,0
0,0,7,7,8,8,0,240.0,240.0,0
0,1,6,8,8,8,0,208.0,272.0,0
0,1,6,7,8,8,0,208.0,240.0,0
0,1,6,6,8,8,0,208.0,208.0,0
0,1,7,6,8,8,0,240.0,208.0,0
0,1,8,6,8,8,0,272.0,208.0,0
0,1,8,7,8,8,0,272.0,240.0,0
0,1,8,8,8,8,0,272.0,272.0,0
0,1,7,8,8,8,0,240.0,272.0,0
0,0,8,7,8,8,0,272.0,240.0,0
0,1,7,8,8,8,0,240.0,272.0,0
0,1,7,7,8,8,0,240.0,240.0,0
0,1,7,6,8,8,0,240.0,208.0,0
0,1,8,6,8,8,0,272.0,208.0,0
0,1,9,6,8,8,0,304.0,208.0,0
0,1,9,7,8,8,0,304.0,240.0,0
0,1,9,8,8,8,0,304.0,272.0,0
0,1,8,8,8,8,0,272.0,272.0,0
0,0,9,7,8,8,0,304.0,240.0,0
0,1,8,8,8,8,0,272.0,272.0,0
0,1,8,7,8,8,0,272.0,240.0,0
0,1,8,6,8,8,0,272.0,208.0,0
0,1,9,6,8,8,0,304.0,208.0,0
0,1,10,6,8,8,0,336.0,208.0,0
0,1,10,7,8,8,0,336.0,240.0,0
0,1,10,8,8,8,0,336.0,272.0,0
0,1,9,8,8,8,0,304.0,272.0,0
0,0,10,7,8,8,0,336.0,240.0,0
0,1,9,8,8,8,0,304.0,272.0,0
0,1,9,7,8,8,0,304.0,240.0,0
0,1,9,6,8,8,0,304.0,208.0,0
0,1,10,6,8,8,0,336.0,208.0,0
0,1,11,6,8,8,0,368.0,208.0,0
0,1,11,7,8,8,0,368.0,240.0,0
0,1,11,8,8,8,0,368.0,272.0,0
0,1,10,8,8,8,0,336.0,272.0,0
0,0,11,7,8,8,0,368.0,240.0,0
0,1,10,8,8,8,0,336.0,272.0,0
0,1,10,7,8,8,0,336.0,240.0,0
0,1,10,6,8,8,0,336.0,208.0,0
0,1,11,6,8,8,0,368.0,208.0,0
0,1,12,6,8,8,0,400.0,208.0,0
0,1,12,7,8,8,0,400.0,240.0,0
0,1,12,8,8,8,0,400.0,272.0,0
0,1,11,8,8,8,0,368.0,272.0,0
0,0,12,7,8,8,0,400.0,240.0,0
0,1,11,8,8,8,0,368.0,272.0,0
0,1,11,7,8,8,0,368.0,240.0,0
0,1,11,6,8,8,0,368.0,208.0,0
0,1,12,6,8,8,0,400.0,208.0,0
0,1,13,6,8,8,0,432.0,208.0,0
0,1,13,7,8,8,0,432.0,240.0,0
0,1,13,8,8,8,0,432.0,272.0,0
0,1,12,8,8,8,0,400.0,272.0,0
0,0,13,7,8,8,0,432.0,240.0,0
0,1,12,8,8,8,0,400.0,272.0,0
0,1,12,7,8,8,0,400.0,240.0,0
0,1,12,6,8,8,0,400.0,208.0,0
0,1,13,6,8,8,0,432.0,208.0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,13,8,8,8,0,432.0,272.0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
